Location,PopTotal
Uruguay,3473.727
Brazil,212559.409
Paraguay,7132.53
Chile,19116.21
Venezuela,28435.94
Peru,32971.85
Colombia,50882.88
Ecuador,17643.06
Argentina,45195.78
